"asin","costo_usd","precio_mxn","fecha","titulo"
"B0BVXQQNBB","27","1225.32","2026-04-11","Miss Mouth's Messy Eater Spray para tratar manchas – Quitamanchas de 16 onzas – Productos esenciales para recién nacidos y bebés – Elimina manchas de alimentos, grasa y café de la ropa, ropa interior"
"B07TDMLFKK","24","1125.28","2026-04-11","TABU, DANA Colonia Spray"
"B0C6MH1Y42","15","825.18","2026-04-11","Flores de lavanda secas, brotes de lavanda seca natural, lavanda seca fragante a granel para cajones y armarios, flores secas al por mayor para jabón, velas, bolsitas, bricolaje (1 libra)"
"B09WDR1YK7","16","858.52","2026-04-11","Cartuchos de tinta para pluma estilográfica Scriveiner - Azul - 20 cartuchos de tinta estándar internacionales, fabricados en Reino Unido, el mejor cartucho para tu pluma Scriveiner, tamaño de recarga"
"B07FPWY1CF","22","1058.59","2026-04-11","Essential Values Limpiador destilador descalcificador - Limpiador de destilador de agua de 2 libras - Ácido cítrico para limpieza en polvo para máquinas de destilación, hervidores - Elimina la"
"B07DRRQQY1","14","791.83","2026-04-11","Bickmore Limpiador de sombreros ligeros espumosos | Elimina la suciedad, el polvo, las huellas dactilares y las manchas de sudor - Ideal para pieles - Sombreros de vaquero de fieltro, sombreros de"
"B07B4M2JN2","31","1358.70","2026-04-11","CSI Central Solutions - Limpiador enzimático múltiple – Limpiador de instrumentos médicos de grado hospitalario para remojo previo y procesamiento manual, 1 galón"
"B0006GBEJ4","6","525.07","2026-04-11","Anbesol Gel Máxima Fuerza – Alivio instantáneo del dolor oral para dolores de muelas, aftas bucales, dolor de encías, dolor de dentadura – 0.33 onzas"
"B07BXLKZMR","30","1325.35","2026-04-11","Blubonic Industries 12% Peróxido de hidrógeno de grado alimentario (H2O2) Oxígeno puro y agua, Quart"
"B0837Z5PBJ","26","1191.97","2026-04-11","Kit de prueba de agua potable 17 en 1, 100 tiras + 2 pruebas de bacterias, prueba de calidad del agua en el hogar, agua de pozo y grifo, fácil prueba de plomo, bacterias, dureza, fluoruro, pH, hierro, cobre y mucho más"
"B0837Z5PBJ","32.99","1425.05","2026-04-11","Kit de prueba de agua potable 17 en 1, 100 tiras + 2 pruebas de bacterias, prueba de calidad del agua en el hogar, agua de pozo y grifo, fácil prueba de plomo, bacterias, dureza, fluoruro, pH, hierro, cobre y mucho más"
"B07TDMLFKK","28.7","1282.00","2026-04-11","TABU, DANA Colonia Spray"
"B07BXLKZMR","30","1325.35","2026-04-11","Blubonic Industries 12% Peróxido de hidrógeno de grado alimentario (H2O2) Oxígeno puro y agua, Quart"
"B000NV6HOE","19.99","991.57","2026-04-11","Traeger Grills Briquetas de madera dura de mezquite PEL305 100 % natural para parrilla, ahumar, hornear, asar, cocinar a fuego lento y hacer a la barbacoa, bolsa de 20 libras"
"B084GHW5DR","21.99","1058.26","2026-04-11","Gorilla Mode - Complemento preentrenamiento, Bombas Masivas, Enfoque Láser,· Energía, Potencia, L-citrulina, creatina, glycerpump™, l-tirosina, agmatina, kanna, citrato de n-fenetil dimetilamina - 617 oz (Sangre de tigre)"
"B0CW6LPMR9","57.99","2258.68","2026-04-11","Kit de árbol bonsái de bricolaje para principiantes, 5 árboles bonzai japoneses únicos, kit completo de inicio de bonsái de interior para cultivar plantas bonsái con herramientas y jardineras, regalos"
"B0DZHDQCT7","19.99","991.57","2026-04-11","Kit de Reparación de Azulejos y Granito/Mármol Globalcom, Kit de Reparación de Encimeras de Porcelana, Piedra y Cuarzo para Astillas, Golpes, Grietas, Agujeros y Arañazos, Repara Bordes y Esquinas"
"B0104NTKFS","41","1692.15","2026-04-11","Resmed Mirage FX Máscara Tamaño del cojín STD por AMT"
"B079ZL7M45","12.99","758.15","2026-04-11","Zep Quitamanchas de Moho y Hongos 1 Galón (Caja de 2) ZUMILDEW128 - Fórmula Profesional sin Refregar"
"B0CZ5S6VY5","19.99","991.57","2026-04-11","Limpiador Interior para Cuero Vegano Blanco y Negro Tesla - Removedor de Manchas - Solución para Limpieza Completa del Interior - Ideal para Asientos, Puertas, Consola, Tablero - Accesorios para Tesla"
"B072JBNB4D","19.99","991.57","2026-04-11","Toallitas limpiadoras de lentes - 400 toallitas de limpieza pre-humedecidas, empacadas individualmente, seguras, para lentes, lentes de sol, pantalla del teléfono, electrónicos y lente de cámara | no deja rayas"
"B07F88LSH8","24.99","1158.29","2026-04-11","Nature's Miracle Removedor de manchas y olores, eliminador de manchas y olores para gatos, aroma a explosión de melón, 1 galón"
"B0837Z5PBJ","32.99","1425.05","2026-04-11","Kit de prueba de agua potable 17 en 1, 100 tiras + 2 pruebas de bacterias, prueba de calidad del agua en el hogar, agua de pozo y grifo, fácil prueba de plomo, bacterias, dureza, fluoruro, pH, hierro, cobre y mucho más"
"B07BXLKZMR","30","1325.35","2026-04-11","Blubonic Industries 12% Peróxido de hidrógeno de grado alimentario (H2O2) Oxígeno puro y agua, Quart"
"B0B6GSJQLG","13.99","791.50","2026-04-11","Snugell AirMini Pro - Conector de manguera compatible con manguera original AirMini y cualquier máscara nasal o facial completa CPAP de 0.866 in - Adaptador para viajes para tubos AirMini - Duradero y fácil de usar"
"B0DBX7JD2L","23.88","1121.28","2026-04-11","Weiman Spray sellador de granito y piedra, protege encimeras de cocina, fregaderos, duchas, tocadores y suelos de manchas, para granito, cuarzo, mármol, azulejos, piedra caliza, pizarra, a base de"
"B07FKRTSJX","29.98","1324.68","2026-04-11","Professional Strength Medical Freeze Spray - aerosol enfriador, se enfría hasta -65°F en segundos, 10oz (283 ml)"
"B001B16T2K","24.99","1158.29","2026-04-11","ZEP HDSWEEP50 Compuesto de barrido de pisos, 50 lb"
"B0CHLCH4CV","19.95","990.23","2026-04-11","Milliard Polvo descalcificador - Solución de limpieza descalcificante para máquina de café y café expreso para uso con Keurig, Breville, Nespresso, Delonghi y más (1 libra, 9 usos)"
"B000C014ZI","8.53","609.43","2026-04-11","Disolvente de 16 oz para óxido gelatinoso naval de Loctite (553472), 1381191"
"B07JQ3NG3P","26.99","1224.98","2026-04-11","Bioda Limpiador de Desagües Enzimático de Fuerza Profesional, Eliminador de Olores de Desagües Seguro para Fosas Sépticas, Eliminador de Olores"
"B086F8FRHT","17.95","923.54","2026-04-11","Tide To Go Toallitas quitamanchas para ropa, removedor instantáneo de manchas y manchas, paquete de 3, (30 toallitas en total)"
"B0CNQ7TG4Y","31.99","1391.71","2026-04-11","Suplemento de Colina Ritual Natal, 550mg, Apoya la función cognitiva del bebé cuando se toma durante el embarazo y el contenido de colina en la leche materna*, Suministro de 30 días"
"B0004JKJS0","899","30302.16","2026-04-11","Seventh Generation - gel detergente lavaplatos, de última intervensión y claro, 42 onzas"
